0011150999625;http://world-en.openfoodfacts.org/product/0011150999625/roundy-s-yellow-mustard;usda-ndb-import;1489055248;2017-03-09T10:27:28Z;1587573056;2020-04-22T16:30:56Z;Roundy's, yellow mustard;;;;;Roundy's;roundy-s;Groceries, Condiments, Sauces, Mustards, Yellow mustards;en:groceries,en:condiments,en:sauces,en:mustards,en:yellow-mustards;Groceries,Condiments,Sauces,Mustards,Yellow-mustards;;;;;;;;;;;;;;;United States;en:united-states;United States;Vinegar, water mustard seed, salt, turmeric, paprika.;;;;;;1 tsp (5 g);5;;0;;;;0;;;0;;;;;3;Fat and sauces;Dressings and sauces;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;ROUNDY'S;en:yellow-mustards;Yellow-mustards;;;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;0;;;;3;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011152000671;http://world-en.openfoodfacts.org/product/0011152000671/hime-prepared-vegetables-in-soy-sauce-jfc-international-inc;usda-ndb-import;1489143623;2017-03-10T11:00:23Z;1587635554;2020-04-23T09:52:34Z;Hime, Prepared Vegetables In Soy Sauce;;;;;Jfc International Inc.;jfc-international-inc;Plant-based foods and beverages, Plant-based foods, Canned foods, Fruits and vegetables based foods, Canned plant-based foods, Vegetables based foods, Canned vegetables;en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables;Plant-based foods and beverages,Plant-based foods,Canned foods,Fruits and vegetables based foods,Canned plant-based foods,Vegetables based foods,Canned vegetables;;;;;;;;;;;;;;;United States;en:united-states;United States;Bamboo shoots, carrot, burdock root, shiitake black mushrooms, dried bean curd (soybeans, water, salt, calcium chloride), fried bean curd (soybeans, water, corn oil, salt, calcium chloride), soysauce (water, soybeans, wheat, salt), sugar, salt, monosodium glutamate.;;;;;;0.5 cup (112 g);112;;1;;en:e621;E621 - Monosodium glutamate;0;;;0;;;1;b;4;Fruits and vegetables;Vegetables;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;JFC International Inc.;en:canned-vegetables;Canned vegetables;;;;;;;;335;335;;0.89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;15.18;8.93;;;;;;;;;1.8;;;1.79;;;;1.6525;0.661;;0.0010713;;;;;0.0011;;;;;;;;;;;;;;0.036;;0.00096;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
0011152003405;http://world-en.openfoodfacts.org/product/0011152003405/nama-wakame-salted-seaweed-jfc-international-inc;usda-ndb-import;1489063634;2017-03-09T12:47:14Z;1587578792;2020-04-22T18:06:32Z;Nama Wakame Salted Seaweed;;;;;Jfc International Inc;jfc-international-inc;Vegetable mixes;en:vegetable-mixes;Vegetable-mixes;;;;;;;;;;;;;;;United States;en:united-states;United States;Nama wakame salted seaweed;;;;;;0.25 cup (40 g);40;;0;;;;0;;;0;;;;;;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;JFC International Inc.;en:vegetable-mixes;Vegetable-mixes;;;;;;;;259;259;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;10;;;5;;;;0.0225;0.009;;0.0003;;;;;0.006;;;;;;;;;;;;;;0.15;;0.0027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011152004907;http://world-en.openfoodfacts.org/product/0011152004907/miso-rouge;kiliweb;1525864307;2018-05-09T11:11:47Z;1584459097;2020-03-17T15:31:37Z;Miso Rouge;;35.2 oz;;;;;Misos;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:misos;Plant-based foods and beverages,Plant-based foods,Legumes and their products,Misos;;;;;;;;;;;;;;;France;en:france;France;WASSER, SOJABOHNEN, REIS, SPEISESALZ, ALKOHOL.;;;;;;;;;1;;en:e1510;E1510 - Ethanol;0;;;0;;;13;d;3;Cereals and potatoes;Legumes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity completed,Product name completed,Photos validated,Photos uploaded;;en:misos;Misos;https://static.openfoodfacts.org/images/products/001/115/200/4907/front_de.33.400.jpg;https://static.openfoodfacts.org/images/products/001/115/200/4907/front_de.33.200.jpg;https://static.openfoodfacts.org/images/products/001/115/200/4907/ingredients_de.35.400.jpg;https://static.openfoodfacts.org/images/products/001/115/200/4907/ingredients_de.35.200.jpg;https://static.openfoodfacts.org/images/products/001/115/200/4907/nutrition_de.37.400.jpg;https://static.openfoodfacts.org/images/products/001/115/200/4907/nutrition_de.37.200.jpg;;736;736;;5.3;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;7.7;;;;;;;;;;;;12;;;;12;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;
0011152005065;http://world-en.openfoodfacts.org/product/0011152005065/wasabi-mayonnaise-dynasty;usda-ndb-import;1489061987;2017-03-09T12:19:47Z;1557343064;2019-05-08T19:17:44Z;Wasabi Mayonnaise;;;;;Dynasty;dynasty;Groceries, Sauces, Mayonnaises;en:groceries,en:sauces,en:mayonnaises;Groceries,Sauces,Mayonnaises;;;;;;;;;;;;;;;United States;en:united-states;United States;Soybean oil, water, whole eggs, apple cider vinegar, horseradish, egg yolks, salt, mustard flour, lemon juice concentrate, mustard oil, fd&c yellow #5, fd&c blue #1 and natural flavor.;;;;;;15 g (1 Tbsp);15;;1;;en:e102;E102 - Tartrazine;0;;;0;;;23;e;4;Fat and sauces;Dressings and sauces;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;;en:mayonnaises;Mayonnaises;;;;;;;;2791;2791;;80;13.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.067;0;0;;;;;;;;;0;;;0;;;;1.27;0.508;;0;;;;;0.008;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
0011152010519;http://world-en.openfoodfacts.org/product/0011152010519/fortune-cookies-jfc-international-inc;usda-ndb-import;1489074338;2017-03-09T15:45:38Z;1587586845;2020-04-22T20:20:45Z;Fortune cookies;;;;;Jfc International Inc.;jfc-international-inc;Snacks, Sweet snacks, Biscuits and cakes, Biscuits;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Snacks,Sweet snacks,Biscuits and cakes,Biscuits;;;;;;;;;;;;;;;United States;en:united-states;United States;Enriched wheat flour (wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean and/or peanut oil, water, egg powder, baking powder (sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate), sodium bicarbonate, salt, artificial butter, vanilla flavor, fd&c yellow no. 5, fd&c yellow no. 6.;;;;;;4 COOKIES (33 g);33;;3;;en:e341,en:e341i,en:e450,en:e500,en:e500ii;E341 - Calcium phosphates,E341i - Monocalcium phosphate,E450 - Diphosphates,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate;0;;;0;;;;;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;JFC International Inc.;en:biscuits;Biscuits;;;;;;;;1774;1774;;6.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.015;84.85;36.36;;;;;;;;;0;;;6.06;;;;0.455;0.182;;;;;;;;;;;;;;;;;;;;;;;0.00327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011152010571;http://world-en.openfoodfacts.org/product/0011152010571/kaki-no-tane-chili-bits;org-database-usda;1587654527;2020-04-23T15:08:47Z;1587654528;2020-04-23T15:08:48Z;Kaki no tane chili bits;;;;;;;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Rice, waxy corn starch, soy sauce (water, soybeans, wheat, salt), sugar, modified tapioca starch, salt, cooking wine (glutinous rice, water, ethanol, glucose, non-glutinous rice), dextrin, caramel color, palm oil, fd&c yellow no. 6, red pepper extract.;en:gluten,en:soybeans;;;;;0.5 cup (30 g);30;;3;;en:e1400,en:e150c,en:e1510;E1400 - Dextrin,E150c - Ammonia caramel,E1510 - Ethanol;0;;;0;;;7;c;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;HAPI SNACKS;en:snacks;Snacks;;;;;;;;1674;1674;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;0;;;;;;;;;0;;;3.33;;;;1.3325;0.533;;0;;;;;0;;;;;;;;;;;;;;0.2;;0;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;
0011152010908;http://world-en.openfoodfacts.org/product/0011152010908/dried-seaweed-wel-pac;kiliweb;1487350559;2017-02-17T16:55:59Z;1587579578;2020-04-22T18:19:38Z;Dried seaweed;;57 g;;;Wel pac;wel-pac;Vegetable mixes;en:vegetable-mixes;Vegetable-mixes;;;;;;;;;;;;;;;France, États-Unis;en:france,en:united-states;France,United States;Wakame (seaweed);;;;;;2 Tbsp (5 g);5;;0;;;;0;;;0;;;7;c;1;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded;JFC International Inc.;en:vegetable-mixes;Vegetable-mixes;;;;;;;;837;837;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;40;0;;;;;;;;;20;;;20;;;;24.5;9.8;;;;;;;;;;;;;;;;;;;0;;0.8;;0.026;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;
0011152010960;http://world-en.openfoodfacts.org/product/0011152010960/roasted-seaweed-sushinori-hime-brand;usda-ndb-import;1489062088;2017-03-09T12:21:28Z;1587577854;2020-04-22T17:50:54Z;Roasted seaweed sushinori;;;;;Hime Brand;hime-brand;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pie dough;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pie-dough;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pie dough;;;;;;;;;;;;;;;United States;en:united-states;United States;Seaweed;;;;;;1 SHEET (3 g);3;;0;;;;0;;;0;;;-6;a;1;Cereals and potatoes;Cereals;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;JFC International Inc.;en:pie-dough;Pie dough;;;;;;;;1393;1393;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;33.33;0;;;;;;;;;33.3;;;33.33;;;;0;0;;0.0039999;;;;;0.08;;;;;;;;;;;;;;0;;0.012;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;
0011152011073;http://world-en.openfoodfacts.org/product/0011152011073/mixed-crackers-hapi-trading;kiliweb;1507227205;2017-10-05T18:13:25Z;1507227208;2017-10-05T18:13:28Z;Mixed crackers;;;;;Hapi trading;hapi-trading;;;;;;;;en:designated-origin-denomination;en:designated-origin-denomination;Designated Origin Denomination;;;;;;;;France;en:france;France;Farine de riz gluant (53% , petits Ingredienti: auce POIS, sucre, huile de palme farine de bé sauce Zucchero C de soja Faines de soja, blé sel, eau), Amidon, Salsa di Irch, I Sesame algue, c Ïli, huile de tournesol, raines de sesame, poudre d'ail, Doudre {oignon raifort Semi (sest E160c, miel, El 50a, El 60c, E133 et El do. E102 et El 10: peut avoir des effets El 60c, indésirables sur l'activité et l'attention chez l'enfant. *E102 e El;;;;;;;;;2;;en:e102,en:e133;E102 - Tartrazine,E133 - Brilliant blue FCF;1;;huile-de-palme;0;;;;;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded;;;;;;https://static.openfoodfacts.org/images/products/001/115/201/1073/ingredients_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/001/115/201/1073/ingredients_fr.7.200.jpg;https://static.openfoodfacts.org/images/products/001/115/201/1073/nutrition_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/001/115/201/1073/nutrition_fr.4.200.jpg;;1820;1820;;11;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;7.1;;;;;;;;;;;;8;;;;1.3;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011152011486;http://world-en.openfoodfacts.org/product/0011152011486/sushi-ginger-gari-hime-brand;usda-ndb-import;1489063441;2017-03-09T12:44:01Z;1587578672;2020-04-22T18:04:32Z;Sushi Ginger Gari;;;;;Hime Brand;hime-brand;Salted snacks;en:salted-snacks;Salted-snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Ginger, water, cane sugar, fructose, white distilled vinegar and acetic acid.;;;;;;1 ONZ (28 g);28;;1;;en:e260;E260 - Acetic acid;0;;;0;;;;;3;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;JFC International Inc.;en:salted-snacks;Salted-snacks;;;;;;;;448;448;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.57;21.43;;;;;;;;;;;;0;;;;1.25;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
