0011213017624;http://world-en.openfoodfacts.org/product/0011213017624/garlic-summer-sausage-spartan;usda-ndb-import;1489068021;2017-03-09T14:00:21Z;1587581666;2020-04-22T18:54:26Z;Garlic Summer Sausage;;;;;Spartan;spartan;Meats, Prepared meats, Sausages;en:meats,en:prepared-meats,en:sausages;Meats,Prepared meats,Sausages;;;;;;;;;;;;;;;United States;en:united-states;United States;Beef, pork, dextrose, salt, flavoring, water, glucono delta lactone, garlic, sodium erythorbate, lactic acid starter culture, sodium nitrite.;;;;;;2 ONZ (56 g);56;;3;;en:e250,en:e316,en:e575;E250 - Sodium nitrite,E316 - Sodium erythorbate,E575 - Glucono-delta-lactone;0;;;0;;;24;e;4;Fish Meat Eggs;Processed meat;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:sausages;Sausages;;;;;;;;1343;1343;;26.79;10.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.071;3.57;3.57;;;;;;;;;0;;;17.86;;;;2.8575;1.143;;0;;;;;0;;;;;;;;;;;;;;0.036;;0.00129;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;
0011213017655;http://world-en.openfoodfacts.org/product/0011213017655/chocolate-peanuts-spartan;usda-ndb-import;1489073137;2017-03-09T15:25:37Z;1489073137;2017-03-09T15:25:37Z;Chocolate Peanuts;;;;;Spartan;spartan;;;;;;;;;;;;;;;;;;United States;en:united-states;United States;Milk chocolate (sugar, cocoa butter, milk, chocolate liquor, soy lecithin [an emulsifier], vanilla), peanuts.;;;;;;38 g (0.25 cup);38;;1;;en:e322,en:e322i;E322 - Lecithins,E322i - Lecithin;0;;;0;;;;;;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;;;;;;;;;;;1653;1653;;23.68;13.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.013;42.11;36.84;;;;;;;;;2.6;;;5.26;;;;0.13462;0.053848;;0;;;;;0;;;;;;;;;;;;;;0.053;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011213017662;http://world-en.openfoodfacts.org/product/0011213017662/spartan-gummi-bears;usda-ndb-import;1489074032;2017-03-09T15:40:32Z;1587586672;2020-04-22T20:17:52Z;Spartan, gummi bears;;;;;Spartan;spartan;Snacks, Sweet snacks, Confectioneries;en:snacks,en:sweet-snacks,en:confectioneries;Snacks,Sweet snacks,Confectioneries;;;;;;;;;;;;;;;United States;en:united-states;United States;Corn syrup, sugar, gelatin, citric acid, sorbitol, natural & artificial flavors, pectin, fd&c yellow no. 5, yellow no. 6, blue no. 1, red no. 40, vegetable oil (coconut), carnauba wax (for anti-sticking).;;;;;;0.25 cup (28 g);28;;5;;en:e330,en:e420,en:e420i,en:e428,en:e440,en:e440i,en:e903;E330 - Citric acid,E420 - Sorbitol,E420i - Sorbitol,E428 - Gelatine,E440 - Pectins,E440i - Pectin,E903 - Carnauba wax;0;;;0;;;14;d;4;Sugary snacks;Sweets;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:confectioneries;Confectioneries;;;;;;;;1343;1343;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;75;50;;;;;;;;;0;;;7.14;;;;0.045;0.018;;0;;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;
0011213017693;http://world-en.openfoodfacts.org/product/0011213017693/spartan-yogurt-covered-pretzels;usda-ndb-import;1489074420;2017-03-09T15:47:00Z;1587586896;2020-04-22T20:21:36Z;Spartan, yogurt covered pretzels;;;;;Spartan;spartan;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Yogurt coating (sugar, palm kernel oil and palm oil, reduced mineral whey powder, whole milk powder, titanium dioxide, yogurt powder [cultured whey and non-fat milk], soy lecithin [an emulsifier], salt, vanilla), pretzels, (enriched wheat flour, salt, corn syrup, vegetable oil (may contain one or more of the following: corn, canola, cottonseed, soybean), sodium bicarbonate, yeast).;;;en:soybeans;en:soybeans;Soybeans;1 ONZ (28 g);28;;3;;en:e171,en:e322,en:e322i,en:e500,en:e500ii;E171 - Titanium dioxide,E322 - Lecithins,E322i - Lecithin,E500 - Sodium carbonates,E500ii - Sodium hydrogen carbonate;0;;;0;;;24;e;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:snacks;Snacks;;;;;;;;1941;1941;;21.43;14.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;75;42.86;;;;;;;;;3.6;;;3.57;;;;0.8925;0.357;;0;;;;;0;;;;;;;;;;;;;;0;;0.00129;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;
0011213017730;http://world-en.openfoodfacts.org/product/0011213017730/spartan-holiday-green-frosted-sugar-cookies;usda-ndb-import;1489075842;2017-03-09T16:10:42Z;1587587902;2020-04-22T20:38:22Z;Spartan, holiday green frosted sugar cookies;;;;;Spartan;spartan;Snacks, Sweet snacks, Biscuits and cakes, Biscuits;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Snacks,Sweet snacks,Biscuits and cakes,Biscuits;;;;;;;;;;;;;;;United States;en:united-states;United States;Sugar, enriched bleached wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), margarine (palm oil, water, soybean oil, salt, contains 2% or less of: mono - and diglycerides, calcium disodium edta [preservative], artificial flavor, annatto [color], vitamin a palmitate), eggs, water, cornstarch, vegetable oil (palm kernel oil and/or palm oil and/or partially hydrogenated vegetable oil [cottonseed and/or soybean oil]), dextrin, skim milk, natural and artificial flavors, leavening (baking soda, sodium aluminum sulfate, monocalcium phosphate), colors (yellow 5 lake, blue 1 lake, blue 1, blue 2, blue 2 lake, red 3, red 40, red 40 lake, yellow 5, yellow 6, yellow 6 lake, titanium dioxide [color]), soy lecithin (emulsifier), rice flour, confectioners' glaze (lac resin), food starch-modified, polysorbate 60, carnauba wax, sodium propionate (preservative), gum arabic, cellulose gum, carrageenan, gum tragacanth.;en:eggs;;;;;1 COOKIE (38 g);38;;19;;en:e102,en:e110,en:e129,en:e133,en:e1400,en:e160b,en:e171,en:e281,en:e322,en:e322i,en:e341,en:e341i,en:e385,en:e407,en:e413,en:e414,en:e435,en:e466,en:e471,en:e521,en:e903;E102 - Tartrazine,E110 - Sunset yellow FCF,E129 - Allura red ac,E133 - Brilliant blue FCF,E1400 - Dextrin,E160b - Annatto,E171 - Titanium dioxide,E281 - Sodium propionate,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E385 - Calcium disodium ethylenediaminetetraacetate,E407 - Carrageenan,E413 - Tragacanth,E414 - Acacia gum,E435 - Polyoxyethylene sorbitan monostearate,E466 - Sodium carboxy methyl cellulose,E471 - Mono- and diglycerides of fatty acids,E521 - Aluminium sodium sulphate,E903 - Carnauba wax;0;;;0;;;23;e;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:biscuits;Biscuits;;;;;;;;1761;1761;;15.79;6.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.026;65.79;42.11;;;;;;;;;0;;;2.63;;;;0.69;0.276;;0.0001578;;;;;0;;;;;;;;;;;;;;0;;0.00189;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
0011213018850;http://world-en.openfoodfacts.org/product/0011213018850/spartan-oven-toasted-corn-squares-cereal;usda-ndb-import;1489068102;2017-03-09T14:01:42Z;1587581739;2020-04-22T18:55:39Z;Spartan, oven toasted corn squares cereal;;;;;Spartan;spartan;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products;;;;;;;;;;;;;;;United States;en:united-states;United States;Corn meal, sugar, salt, corn bran, molasses, potassium chloride, baking soda, vitamins and minerals: calcium carbonate, reduced iron and zinc oxide (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin a palmitate, vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin d, vitamin b12. bht added to packaging material to help preserve freshness.;;;;;;1 cup (30 g);30;;0;;;;0;;;0;;;11;d;3;Cereals and potatoes;Cereals;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:cereals-and-their-products;Cereals and their products;;;;;;;;1536;1536;;0;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;0;0;86.67;10;;;;;;;;;3.3;;;6.67;;;;1.9175;0.767;;0.0012501;;0.000008325;;;0.02;0.001;0.001417;0.016667;0.001667;0.00003;;0.000005;;;;;0.2;;0.333;;0.03;;0.0125;;;;;;;;;;;;;;;;;;;11;;;;;;;;
0011213019024;http://world-en.openfoodfacts.org/product/0011213019024/pitted-prunes-dried-plums-spartan;usda-ndb-import;1489063851;2017-03-09T12:50:51Z;1587578939;2020-04-22T18:08:59Z;Pitted prunes, dried plums;;;;;Spartan;spartan;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Prunes, potassium sorbate as a preservative.;;;;;;0.25 cup (40 g);40;;0;;;;0;;;0;;;5;c;1;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:snacks;Snacks;;;;;;;;1046;1046;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;65;37.5;;;;;;;;;7.5;;;2.5;;;;0;0;;0.000225;;;;;0;;;;;;;;;;;;0.725;;0.05;;0.0009;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;
0011213019062;http://world-en.openfoodfacts.org/product/0011213019062/1-dozen-farm-fresh-eggs-spartan;usda-ndb-import;1489063458;2017-03-09T12:44:18Z;1587578683;2020-04-22T18:04:43Z;1 Dozen Farm Fresh Eggs;;;;;Spartan;spartan;en:eggs;en:farming-products,en:eggs;Farming products,Eggs;;;;;;;;;;;;;;;United States;en:united-states;United States;Farms fresh eggs;;;;;;1 EGG (50 g);50;;0;;;;0;;;0;;;;;;Fish Meat Eggs;Eggs;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:eggs;Eggs;;;;;;;;586;586;;10;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;0;;;;;;;;;;;;;12;;;;0.35;0.14;;0.00018;;;;;;;;;;;;;;;;;;;0.04;;0.00144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011213019154;http://world-en.openfoodfacts.org/product/0011213019154/100-pure-pumpkin-pie-spartan;usda-ndb-import;1489068021;2017-03-09T14:00:21Z;1587581666;2020-04-22T18:54:26Z;100% pure pumpkin pie;;;;;Spartan;spartan;Plant-based foods and beverages, Plant-based foods, Canned foods, Fruits and vegetables based foods, Canned plant-based foods, Vegetables based foods, Canned vegetables;en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables;Plant-based foods and beverages,Plant-based foods,Canned foods,Fruits and vegetables based foods,Canned plant-based foods,Vegetables based foods,Canned vegetables;;;;;;;;;;;;;;;United States;en:united-states;United States;Pumpkin.;;;;;;0.5 cup (120 g);120;;0;;;;0;;;0;;;-8;a;1;Fruits and vegetables;Vegetables;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:canned-vegetables;Canned vegetables;;;;;;;;176;176;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;9.17;3.33;;;;;;;;;2.5;;;1.67;;;;0.02;0.008;;0.0035001;;;;;0.004;;;;;;;;;;;;;;0.033;;0.0006;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;
0011213019178;http://world-en.openfoodfacts.org/product/0011213019178/pumpkin-spartan;usda-ndb-import;1489061241;2017-03-09T12:07:21Z;1587577320;2020-04-22T17:42:00Z;Pumpkin;;;;;Spartan;spartan;Plant-based foods and beverages, Plant-based foods, Canned foods, Fruits and vegetables based foods, Canned plant-based foods, Vegetables based foods, Canned vegetables;en:plant-based-foods-and-beverages,en:plant-based-foods,en:canned-foods,en:fruits-and-vegetables-based-foods,en:canned-plant-based-foods,en:vegetables-based-foods,en:canned-vegetables;Plant-based foods and beverages,Plant-based foods,Canned foods,Fruits and vegetables based foods,Canned plant-based foods,Vegetables based foods,Canned vegetables;;;;;;;;;;;;;;;United States;en:united-states;United States;Pumpkin.;;;;;;0.5 cup (105 g);105;;0;;;;0;;;0;;;-8;a;1;Fruits and vegetables;Vegetables;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;SPARTAN;en:canned-vegetables;Canned vegetables;;;;;;;;138;138;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;6.67;2.86;;;;;;;;;2.9;;;0.95;;;;0.0475;0.019;;0.0009999;;;;;0;;;;;;;;;;;;;;0.019;;0.00069;;;;;;;;;;;;;;;;;;;;;-8;;;;;;;;
