0014100044888;http://world-en.openfoodfacts.org/product/0014100044888/soft-baked-granola-cranberry;org-database-usda;1587654862;2020-04-23T15:14:22Z;1587654862;2020-04-23T15:14:22Z;Soft baked granola, cranberry;;;;;;;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Made from: oats, whole wheat flour, sunflower seeds, sugar, vegetable oils (canola, soybean), brown sugar (sugar, invert sugar, molasses), cranberries, corn syrup, raisins, soluble corn fiber, glycerin, contains 2 percent or less of: soy protein isolate, brown rice syrup, soy lecithin, salt, leavening (baking soda), cinnamon, citric acid, eggs, natural flavors, spices, honey, brown sugar molasses, nonfat milk and maltose.;en:eggs,en:soybeans;;;;;1.6 ONZ (45 g);45;;3;;en:e322,en:e322i,en:e330,en:e422;E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E422 - Glycerol;0;;;0;;;10;c;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;PEPPERIDGE FARM;en:snacks;Snacks;;;;;;;;1766;1766;;15.56;1.11;;;;;;;;;;;;;;;8.89;4.44;;;;;;;;;;;;;;;;;0;0;64.44;24.44;;;;;;;;;11.1;;;8.89;;;;0.945;0.378;;0;;;;;0;0;0.000076;0.001778;;;0.000036;;;;;;;;0.044;;0.0024;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;
0014100044925;http://world-en.openfoodfacts.org/product/0014100044925/soft-baked-granola-bar-blueberry;org-database-usda;1587654877;2020-04-23T15:14:37Z;1587654877;2020-04-23T15:14:37Z;Soft baked granola bar, blueberry;;;;;;;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Made from: oats, sunflower seeds, whole wheat flour, vegetable oils (canola, soybean), brown sugar (sugar, invert sugar, molasses), sugar, blueberries, corn syrup, raisins, soluble corn fiber, glycerin, soy protein isolate, contains 2 percent or less of: brown rice syrup, soy lecithin, citric acid, salt, leavening (baking soda), natural flavors, eggs, brown sugar molasses, honey, nonfat milk and lactic acid.;en:eggs,en:soybeans;;;;;1.6 ONZ (45 g);45;;4;;en:e270,en:e322,en:e322i,en:e330,en:e422;E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E422 - Glycerol;0;;;0;;;9;c;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;PEPPERIDGE FARM;en:snacks;Snacks;;;;;;;;1858;1858;;17.78;2.22;;;;;;;;;;;;;;;10;5.56;;;;;;;;;;;;;;;;;0;0;57.78;22.22;;;;;;;;;11.1;;;11.11;;;;0.8325;0.333;;0;;;;;0;0;0.000151;0.001778;;;0.000018;;;;;;;;0.089;;0.0024;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;
0014100044932;http://world-en.openfoodfacts.org/product/0014100044932/soft-baked-granola-cinnamon-brown-sugar;org-database-usda;1587649171;2020-04-23T13:39:31Z;1587649171;2020-04-23T13:39:31Z;Soft baked granola, cinnamon brown sugar;;;;;;;Snacks, Sweet snacks, Biscuits and cakes, Biscuits;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Snacks,Sweet snacks,Biscuits and cakes,Biscuits;;;;;;;;;;;;;;;United States;en:united-states;United States;Oats, sunflower seeds, whole wheat flour, vegetable oils (canola, soybean), brown sugar (sugar, invert sugar, molasses), corn syrup, raisins, soluble corn fiber, glycerin, sugar, soy protein isolate, contains 2 percent or less of brown rice syrup, soy lecithin, salt, baking soda, cinnamon, natural flavors, citric acid, eggs, honey, brown sugar molasses, nonfat milk and lactic acid.;en:eggs,en:soybeans;;;;;1.6 ONZ (45 g);45;;4;;en:e270,en:e322,en:e322i,en:e330,en:e422;E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E422 - Glycerol;0;;;0;;;9;c;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Pepperidge Farm, Inc.;en:biscuits;Biscuits;;;;;;;;1858;1858;;20;2.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;57.78;17.78;;;;;;;;;11.1;;;11.11;;;;0.945;0.378;;0;;;;;0;;;;;;;;;;;;;;0.044;;0.0024;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;
0014100044949;http://world-en.openfoodfacts.org/product/0014100044949/brightside-soft-baked-granola-cinnamon-brown-sugar;org-database-usda;1587654891;2020-04-23T15:14:51Z;1587654891;2020-04-23T15:14:51Z;Brightside soft baked granola, cinnamon brown sugar;;;;;;;Snacks;en:snacks;Snacks;;;;;;;;;;;;;;;United States;en:united-states;United States;Made from: oats, sunflower seeds, whole wheat flour, vegetable oils (canola, soybean), brown sugar (sugar, invert sugar, molasses), corn syrup, raisins, soluble corn fiber, glycerin, sugar, soy protein isolate, contains 2 percent or less of: brown rice syrup, soy lecithin, salt, baking soda, cinnamon, natural flavors, citric acid, eggs, honey, brown sugar molasses, nonfat milk and lactic acid.;en:eggs,en:soybeans;;;;;1.6 ONZ (45 g);45;;4;;en:e270,en:e322,en:e322i,en:e330,en:e422;E270 - Lactic acid,E322 - Lecithins,E322i - Lecithin,E330 - Citric acid,E422 - Glycerol;0;;;0;;;9;c;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;PEPPERIDGE FARM;en:snacks;Snacks;;;;;;;;1858;1858;;20;2.22;;;;;;;;;;;;;;;11.11;5.56;;;;;;;;;;;;;;;;;0;0;57.78;17.78;;;;;;;;;11.1;;;11.11;;;;0.945;0.378;;0;;;;;0;0;0.000151;0.001778;;;0.000036;;;;;;;;0.044;;0.0024;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;
0014100045342;http://world-en.openfoodfacts.org/product/0014100045342/chocolate-chunk-milk-chocolate-coconut-almond-pepperidge-farm;openfoodfacts-contributors;1474232350;2016-09-18T20:59:10Z;1488353128;2017-03-01T07:25:28Z;Chocolate chunk milk chocolate coconut almond;;1;;;Pepperidge farm;pepperidge-farm;;;;;;;;;;;;;;;;;;France;en:france;France;;;;;;;;;;;;;;;;;;;;;;;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients to be completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands completed,Packaging to be completed,Quantity completed,Product name completed,Photos to be validated,Photos uploaded;;;;https://static.openfoodfacts.org/images/products/001/410/004/5342/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/001/410/004/5342/front_fr.3.200.jpg;;;;;;2167;2167;;;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.9;;;;;;;;;3;;;5.7;;;;0.6;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0014100045403;http://world-en.openfoodfacts.org/product/0014100045403/hot-dog-buns-porridge-farm;waistline-app;1540275658;2018-10-23T06:20:58Z;1587649171;2020-04-23T13:39:31Z;Hot dog buns;;;;;Porridge Farm;porridge-farm;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads;;;;;;;;;;;;;;;United States;en:united-states;United States;Unbromated unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), water, sugar, yeast, soybean oil, contains 2 percent or less of wheat gluten, salt, wheat flour, natural flavors, nonfat milk*, sodium stearoyl lactylate and datem (dough conditioners), mono and diglycerides, calcium propionate and sorbic acid to retard spoilage, yellow corn flour, cellulose gum, malted barley flour, baking soda, soy lecithin, sucralose, annatto and turmeric extracts for color, sesame seeds.;en:gluten,en:sesame-seeds;;;;;1.8 ONZ (50 g);50;;6;;en:e322,en:e322i,en:e466,en:e471,en:e472e,en:e481,en:e955;E322 - Lecithins,E322i - Lecithin,E466 - Sodium carboxy methyl cellulose,E471 - Mono- and diglycerides of fatty acids,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E481 - Sodium stearoyl-2-lactylate,E955 - Sucralose;0;;;0;;;2;b;4;Cereals and potatoes;Bread;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded;Pepperidge Farm, Inc.;en:breads;Breads;https://static.openfoodfacts.org/images/products/001/410/004/5403/front_en.6.400.jpg;https://static.openfoodfacts.org/images/products/001/410/004/5403/front_en.6.200.jpg;https://static.openfoodfacts.org/images/products/001/410/004/5403/ingredients_en.3.400.jpg;https://static.openfoodfacts.org/images/products/001/410/004/5403/ingredients_en.3.200.jpg;;;;1088;1088;;4;0;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;;;0;0;48;8;;;;;;;;;2;;;8;;;;1.05;0.42;;0;;;;;0;0;0.000272;0.0032;;;0.00008;;;;;;;;0.04;;0.00288;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
0014100045427;http://world-en.openfoodfacts.org/product/0014100045427/pepperidge-farm-bakery-classics-sweet-soft-buns;org-database-usda;1587654865;2020-04-23T15:14:25Z;1589468923;2020-05-14T15:08:43Z;Pepperidge farm, bakery classics, sweet & soft buns;;;;;;;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads;;;;;;;;;;;;;;;United States;en:united-states;United States;enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sugar, wheat gluten, yeast, soybean oil, contains 2 percent or less of: salt, wheat flour, natural flavors, nonfat milk*, sodium stearoyl lactylate and datem (dough conditioners), monoglycerides, calcium propionate and sorbic acid to retard spoilage, yellow corn flour, cellulose gum, malted barley flour, baking soda, soy lecithin, sucralose, annatto and turmeric extracts for color, sesame seeds,;en:gluten,en:sesame-seeds;;;;;1.3 ONZ (36 g);36;;5;;en:e322,en:e322i,en:e466,en:e472e,en:e481,en:e955;E322 - Lecithins,E322i - Lecithin,E466 - Sodium carboxy methyl cellulose,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E481 - Sodium stearoyl-2-lactylate,E955 - Sucralose;0;;;0;;;2;b;4;Cereals and potatoes;Bread;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded;Pepperidge Farm, Inc.;en:breads;Breads;https://static.openfoodfacts.org/images/products/001/410/004/5427/front_en.5.400.jpg;https://static.openfoodfacts.org/images/products/001/410/004/5427/front_en.5.200.jpg;;;;;;1163;1163;;4.17;0;;;;;;;;;;;;;;;0;1.39;;;;;;;;;;;;;;;;;0;0;50;8.33;;;;;;;;;2.8;;;11.11;;;;1.18;0.472;;0;;;;;0;0;0.000283;0.004444;;;0.000111;;;;;;;;0.056;;0.003;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
0014100045489;http://world-en.openfoodfacts.org/product/0014100045489/brown-butter-rum;org-database-usda;1587655048;2020-04-23T15:17:28Z;1587655048;2020-04-23T15:17:28Z;Brown butter rum;;;;;;;Snacks, Sweet snacks, Biscuits and cakes, Biscuits;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Snacks,Sweet snacks,Biscuits and cakes,Biscuits;;;;;;;;;;;;;;;United States;en:united-states;United States;Unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), sugar, butter, vegetable oils (palm and/or interesterified and hydrogenated soybean), brown sugar (sugar, invert sugar, molasses), contains 2 percent or less of: eggs, natural flavors, salt, baking soda, cream of tartar, saffron for color, spices, soy lecithin.;en:milk;;;;;0.9 ONZ (26 g);26;;1;;en:e322,en:e322i;E322 - Lecithins,E322i - Lecithin;0;;;0;;;24;e;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;PEPPERIDGE FARM;en:biscuits;Biscuits;;;;;;;;2092;2092;;23.08;11.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.077;69.23;26.92;;;;;;;;;0;;;3.85;;;;0.8175;0.327;;0;;;;;0;;;;;;;;;;;;;;0;;0.00277;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;
0014100045496;http://world-en.openfoodfacts.org/product/0014100045496/sweet-simple-cookies-salted-caramel-pepperidge-farm;kiliweb;1523363823;2018-04-10T12:37:03Z;1587649370;2020-04-23T13:42:50Z;Sweet & simple cookies, salted caramel;;;;;Pepperidge Farm;pepperidge-farm;Snacks, Sweet snacks, Biscuits and cakes, Biscuits;en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits;Snacks,Sweet snacks,Biscuits and cakes,Biscuits;;;;;;;;;;;;;;;France, United States;en:france,en:united-states;France,United States;Made from: unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), salted caramel drops (sugar, hydrogenated palm kernel oil, lactose, whole milk powder, reduced mineral whey powder, nonfat milk powder, colors (yellow 5 lake, red 40 lake, blue 2 lake), soy lecithin as an emulsifier, natural flavors, salt), sugar, vegetable oils (palm and/or interesterified and hydrogenated soybean), butter, brown sugar (sugar, invert sugar, molasses), contains 2 percent or less of: eggs, salt, baking soda, monocalcium phosphate, natural flavors.;en:milk;;;;;1.1 ONZ (31 g);31;;3;;en:e129,en:e133,en:e341,en:e341i;E129 - Allura red ac,E133 - Brilliant blue FCF,E341 - Calcium phosphates,E341i - Monocalcium phosphate;0;;;0;;;29;e;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded;PEPPERIDGE FARM INC;en:biscuits;Biscuits;;;;;;;;2025;2025;;22.58;11.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.032;70.97;41.94;;;;;;;;;0;;;3.23;;;;0.9275;0.371;;0;;;;;0;;;;;;;;;;;;;;0.065;;0.00232;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;
0014100045526;http://world-en.openfoodfacts.org/product/0014100045526/pepperidge-farm-crackers;kiliweb;1540684341;2018-10-27T23:52:21Z;1587649167;2020-04-23T13:39:27Z;Pepperidge farm crackers;;;;;Pepperidge Farm;pepperidge-farm;Snacks, Salty snacks, Sweet snacks, Appetizers, Biscuits and cakes, Biscuits, Crackers;en:snacks,en:salty-snacks,en:sweet-snacks,en:appetizers,en:biscuits-and-cakes,en:biscuits,en:crackers;Snacks,Salty snacks,Sweet snacks,Appetizers,Biscuits and cakes,Biscuits,Crackers;;;;;;;;;;;;;;;France, United States;en:france,en:united-states;France,United States;Made with smiles and enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cheddar cheese ([cultured milk, salt, enzymes], annatto), canola and/or sunflower oil, salt, contains 2% or less of: yeast, sugar, autolyzed yeast extract, baking soda, paprika, spices, celery, monocalcium phosphate, onion powder. contains: wheat, milk.;;;;;;Per Serving (30 g);30;;2;;en:e160b,en:e341,en:e341i;E160b - Annatto,E341 - Calcium phosphates,E341i - Monocalcium phosphate;0;;;0;;;14;d;4;Sugary snacks;Biscuits and cakes;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded;PEPPERIDGE FARM;en:crackers;Crackers;;;;;;;;1954;1954;;16.67;3.33;;;;;;;;;;;;;;;10;3.33;;;;;;;;;;;;;;;;;0;0.033;66.67;0;;;;;;;;;3.3;;;10;;;;2.0825;0.833;;0;;;;;0;0;0.000667;0.005333;;0.00015;0.000133;;;;;;0.167;;0.133;;0.004;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;
