0015400035422;http://world-en.openfoodfacts.org/product/0015400035422/western-family-savory-beef-gravy;usda-ndb-import;1489066698;2017-03-09T13:38:18Z;1587580821;2020-04-22T18:40:21Z;Western family, savory beef gravy;;;;;Western Family;western-family;Groceries, Dried products, Dried products to be rehydrated, Sauces, Dehydrated sauces;en:groceries,en:dried-products,en:dried-products-to-be-rehydrated,en:sauces,en:dehydrated-sauces;Groceries,Dried products,Dried products to be rehydrated,Sauces,Dehydrated sauces;;;;;;;;;;;;;;;United States;en:united-states;United States;Beef stock, water, modified food starch,wheat flour, contains 2% or less of high fructose corn syrup, salt, beef fat, natural flavor, yeast extract, caramel color, hydrolyzed corn, soy and wheat protein, disodium phosphate, wheat starch, garlic powder, disodium guanylate, disodium inosinate, onion powder, spice, succinic acid,soy sauce (soybean, wheat,salt).;;;;;;0.25 cup (60 g);60;;5;;en:e150c,en:e339,en:e339ii,en:e363,en:e627,en:e631;E150c - Ammonia caramel,E339 - Sodium phosphates,E339ii - Disodium phosphate,E363 - Succinic acid,E627 - Disodium guanylate,E631 - Disodium inosinate;0;;;0;;;;;4;Fat and sauces;Dressings and sauces;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:dehydrated-sauces;Dehydrated sauces;;;;;;;;176;176;;0.83;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;6.67;1.67;;;;;;;;;0;;;1.67;;;;1.125;0.45;;0;;;;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0015400035477;http://world-en.openfoodfacts.org/product/0015400035477/chips;org-database-usda;1587646866;2020-04-23T13:01:06Z;1587646866;2020-04-23T13:01:06Z;Chips;;;;;;;Baking decorations;en:baking-decorations;Baking-decorations;;;;;;;;;;;;;;;United States;en:united-states;United States;Sugar, partially defatted peanut flour, hydrogenated palm kernel oil, nonfat dry milk, dextrose, soy lecithin, and salt.;;;;;;33 PIECES (15 g);15;;1;;en:e322,en:e322i;E322 - Lecithins,E322i - Lecithin;0;;;0;;;23;e;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:baking-decorations;Baking-decorations;;;;;;;;2230;2230;;26.67;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;60;53.33;;;;;;;;;6.7;;;13.33;;;;0.5;0.2;;0;;;;;0;;;;;;;;;;;;;;0.133;;0;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
0015400035842;http://world-en.openfoodfacts.org/product/0015400035842/western-family-whole-smoked-oysters-in-cottonseed-oil;usda-ndb-import;1489066273;2017-03-09T13:31:13Z;1587580547;2020-04-22T18:35:47Z;Western family, whole smoked oysters in cottonseed oil;;;;;Western Family;western-family;Canned foods, Seafood;en:canned-foods,en:seafood;Canned foods,Seafood;;;;;;;;;;;;;;;United States;en:united-states;United States;Whole smoked oysters, cottonseed oil, salt.;;;;;;3 ONZ (85 g);85;;0;;;;0;;;0;;;4;c;3;Fish Meat Eggs;Fish and seafood;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:seafood;Seafood;;;;;;;;837;837;;10.59;3.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.065;11.76;0;;;;;;;;;0;;;14.12;;;;1;0.4;;0.0001059;;;;;0;;;;;;;;;;;;;;0.024;;0.00847;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
0015400035866;http://world-en.openfoodfacts.org/product/0015400035866/western-family-kippered-snacks-kippered-herring-fillets;usda-ndb-import;1489065952;2017-03-09T13:25:52Z;1587580338;2020-04-22T18:32:18Z;Western family, kippered snacks, kippered herring fillets;;;;;Western Family;western-family;Canned foods, Seafood;en:canned-foods,en:seafood;Canned foods,Seafood;;;;;;;;;;;;;;;United States;en:united-states;United States;Herring fillets, water, salt, natural smoke flavoring, sodium hexametaphosphate.;;;;;;1 CAN DRAINED (85 g);85;;0;;;;0;;;0;;;4;c;4;Fish Meat Eggs;Fish and seafood;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:seafood;Seafood;;;;;;;;640;640;;9.41;2.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.076;0;0;;;;;;;;;0;;;18.82;;;;1.3525;0.541;;0;;;;;0;;;;;;;;;;;;;;0.071;;0.00169;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
0015400035880;http://world-en.openfoodfacts.org/product/0015400035880/western-family-lightly-smoked-sardines-in-soybean-oil;usda-ndb-import;1489066276;2017-03-09T13:31:16Z;1587580550;2020-04-22T18:35:50Z;Western family, lightly smoked sardines in soybean oil;;;;;Western Family;western-family;Canned foods, Seafood;en:canned-foods,en:seafood;Canned foods,Seafood;;;;;;;;;;;;;;;United States;en:united-states;United States;Sardines, vegetable oil (soybean oil), salt, smoked flavor.;;;;;;1 CAN (119 g);119;;0;;;;0;;;0;;;-1;a;4;Fish Meat Eggs;Fish and seafood;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:seafood;Seafood;;;;;;;;669;669;;7.56;1.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.076;0.84;0;;;;;;;;;0;;;21.85;;;;0.525;0.21;;0;;;;;0;;;;;;;;;;;;;;0.84;;0.00151;;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;
0015400035965;http://world-en.openfoodfacts.org/product/0015400035965/100-white-grape-juice-western-family-foods-inc;usda-ndb-import;1489144209;2017-03-10T11:10:09Z;1587636017;2020-04-23T10:00:17Z;100% White Grape Juice;;;;;Western Family Foods  Inc.;western-family-foods-inc;Plant-based foods and beverages, Beverages, Plant-based beverages;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;Plant-based foods and beverages,Beverages,Plant-based beverages;;;;;;;;;;;;;;;United States;en:united-states;United States;White grape juice from concentrate (water, white grape juice concentrate), white grape juice, citric acid (for tartness), ascorbic acid (vitamin c), potassium metabisulfite added to maintain flavor and freshness.;;;;;;8 OZA (240 ml);240;;1;;en:e330;E330 - Citric acid;0;;;0;;;;;1;Beverages;Unsweetened beverages;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:plant-based-beverages;Plant-based beverages;;;;;;;;259;259;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.83;15.83;;;;;;;;;;;;0;;;;0.0375;0.015;;;;;;;0.0325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0015400035989;http://world-en.openfoodfacts.org/product/0015400035989/juice-cocktail-from-concentrate-western-family-foods-inc;usda-ndb-import;1489144200;2017-03-10T11:10:00Z;1587636006;2020-04-23T10:00:06Z;Juice cocktail from concentrate;;;;;Western Family Foods  Inc.;western-family-foods-inc;Plant-based foods and beverages, Beverages, Plant-based beverages;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;Plant-based foods and beverages,Beverages,Plant-based beverages;;;;;;;;;;;;;;;United States;en:united-states;United States;Water, high fructose corn syrup, grapefruit juice concentrate, grapefruit pulp sacs, citric acid, pectin, natural flavors, ascorbic acid (vitamin c), red 40.;;;;;;8 OZA (240 ml);240;;3;;en:e129,en:e330,en:e440,en:e440i;E129 - Allura red ac,E330 - Citric acid,E440 - Pectins,E440i - Pectin;0;;;0;;;;;4;Beverages;Sweetened beverages;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:plant-based-beverages;Plant-based beverages;;;;;;;;226;226;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.75;13.75;;;;;;;;;;;;0;;;;0.0375;0.015;;;;;;;0.0325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0015400036061;http://world-en.openfoodfacts.org/product/0015400036061/western-family-premium-vegetable-oil-cooking-spray;usda-ndb-import;1489066770;2017-03-09T13:39:30Z;1587580859;2020-04-22T18:40:59Z;Western family, premium vegetable oil cooking spray;;;;;Western Family;western-family;Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:vegetable-fats,en:vegetable-oils;Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils;;;;;;;;;;;;;;;United States;en:united-states;United States;Soybean oil, soy lecithin, water, propellant.;;;;;;0.33 SEC SPRAY (0.25 g);0.25;;1;;en:e322,en:e322i;E322 - Lecithins,E322i - Lecithin;0;;;0;;;0;b;2;Fat and sauces;Fats;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:vegetable-oils;Vegetable oils;;;;;;;;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;0;;;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
0015400036245;http://world-en.openfoodfacts.org/product/0015400036245/unbleached-bread-flour;org-database-usda;1587644847;2020-04-23T12:27:27Z;1587644847;2020-04-23T12:27:27Z;Unbleached bread flour;;;;;;;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products;;;;;;;;;;;;;;;United States;en:united-states;United States;Enriched unbleached wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), malted barley flour.;en:gluten;;;;;0.25 cup (31 g);31;;0;;;;0;;;0;;;-4;a;1;Cereals and potatoes;Cereals;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:cereals-and-their-products;Cereals and their products;;;;;;;;1485;1485;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;77.42;0;;;;;;;;;3.2;;;9.68;;;;0;0;;0;;;;;0;0.001;0.000439;0.006452;;;;;;;;;;;0;;0.00465;;;;;;;;;;;;;;;;;;;;;-4;;;;;;;;
0015400043328;http://world-en.openfoodfacts.org/product/0015400043328/100-juice-western-family-foods-inc;usda-ndb-import;1489144186;2017-03-10T11:09:46Z;1587635985;2020-04-23T09:59:45Z;100% juice;;;;;Western Family Foods  Inc.;western-family-foods-inc;Plant-based foods and beverages, Beverages, Plant-based beverages;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages;Plant-based foods and beverages,Beverages,Plant-based beverages;;;;;;;;;;;;;;;United States;en:united-states;United States;Water, grapefruit juice concentrate, ascorbic acid (vitamin c*).;;;;;;8 OZA (240 ml);240;;0;;;;0;;;0;;;;;1;Beverages;Unsweetened beverages;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;Western Family Foods, Inc.;en:plant-based-beverages;Plant-based beverages;;;;;;;;176;176;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.42;10;;;;;;;;;;;;0;;;;0.0375;0.015;;;;;;;0.0325;;;;;;;;;;;;0.133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
