0025800029563;http://world-en.openfoodfacts.org/product/0025800029563/tasty-american-favorites-chicken-slider;org-database-usda;1587636653;2020-04-23T10:10:53Z;1587636654;2020-04-23T10:10:54Z;Tasty american favorites chicken slider;;;;;;;Frozen foods;en:frozen-foods;Frozen foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Bread (enriched bleached wheat flour [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid, enzymes], water, sugar, modified wheat starch, soybean oil, contains 2% or less of: yeast, vital wheat gluten, salt, monoglycerides, calcium sulfate, enzymes, tricalcium phosphate, wheat starch, ascorbic acid, sorbitan monostearate, citric acid, calcium propionate), cooked breaded chicken patty (white meat chicken, water, salt, sodium phosphates, spices, seasoning [salt, sodium phosphate, vinegar powder (maltodextrin, modified food starch, dried vinegar), spice extractives, garlic powder], breaded with: bleached enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], salt, dextrose, leavening [sodium aluminum phosphate, sodium bicarbonate], yeast, soybean and/or cottonseed oil, spices, yeast extract, garlic powder, onion powder, extractive of paprika and annatto, spice extractives, batter with: water, enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], modified corn starch, salt, leavening [sodium aluminum phosphate, sodium bicarbonate], spices, xanthan gum, garlic powder, onion powder, spice extractives).;en:gluten;;;;;1 SLIDER (70 g);70;;6;;en:e160b,en:e282,en:e330,en:e415,en:e491,en:e541;E160b - Annatto,E282 - Calcium propionate,E330 - Citric acid,E415 - Xanthan gum,E491 - Sorbitan monostearate,E541 - Sodium aluminium phosphate;0;;;0;;;1;b;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:frozen-foods;Frozen foods;;;;;;;;1255;1255;;12.86;2.14;;;;;;;;;;;;;;;2.86;6.43;;;;;;;;;;;;;;;;;0;0.021;30;4.29;;;;;;;;;4.3;;;12.86;;;;1.215;0.486;;0;;;;;0;;;;;;;;;;;;;;0;;0.00206;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
0025800029587;http://world-en.openfoodfacts.org/product/0025800029587/spicy-chicken-slider;org-database-usda;1587636673;2020-04-23T10:11:13Z;1587636673;2020-04-23T10:11:13Z;Spicy chicken slider;;;;;;;Frozen foods;en:frozen-foods;Frozen foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Bread (enriched bleached wheat flour [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid, enzymes], water, sugar, modified wheat starch, soybean oil, contains 2% or less of: yeast, vital wheat gluten, salt, monoglycerides, calcium sulfate, enzymes, tricalcium phosphate, wheat starch, ascorbic acid, sorbitan monostearate, citric acid, calcium propionate), fully cooked breaded spicy chicken patty (white chicken meat, water, seasoning [sugar, salt, onion powder, yeast extract, garlic powder, torula yeast, spices, flavor (hydrolyzed soy protein, yeast extract, natural flavor, hydrolyzed corn protein, chicken fat, maltodextrin, silicon dioxide), paprika, spice extractives, salt, sodium phosphate, vinegar powder (maltodextrin, modified food starch, and dried vinegar), spice extractives, garlic powder], sugar, sodium phosphates, breaded with: enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], spices, salt, leavening (sodium bicarbonate, sodium acid pyrophosphate, monocalcium phosphate), oleoresin paprika, onion powder], batter with: water, enriched wheat flour and bleached enriched wheat flour [niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], corn starch, spices, salt, yellow corn flour, buttermilk solids, dextrose, guar gum, extractives of paprika, methylcellulose, onion powder, extractives of turmeric, modified corn starch, rice starch, yellow corn flour, gelatin, dried egg whites).;en:gluten;;;;;1 SLIDER (70 g);70;;8;;en:e282,en:e330,en:e341,en:e341i,en:e412,en:e428,en:e450,en:e461,en:e491;E282 - Calcium propionate,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E412 - Guar gum,E428 - Gelatine,E450 - Diphosphates,E461 - Methyl cellulose,E491 - Sorbitan monostearate;0;;;0;;;1;b;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:frozen-foods;Frozen foods;;;;;;;;1134;1134;;11.43;2.14;;;;;;;;;;;;;;;2.86;5;;;;;;;;;;;;;;;;;0;0.021;30;4.29;;;;;;;;;4.3;;;11.43;;;;1.215;0.486;;0;;;;;0;;;;;;;;;;;;0.193;;0;;0.00206;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
0025800030101;http://world-en.openfoodfacts.org/product/0025800030101/sesame-noodles-with-vegetables-smart-ones;usda-ndb-import;1489070968;2017-03-09T14:49:28Z;1587658446;2020-04-23T16:14:06Z;Sesame Noodles With Vegetables;;;;;Smart Ones;smart-ones;Frozen foods;en:frozen-foods;Frozen foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Cooked enriched macaroni product (water, enriched macaroni product [durum wheat flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid], carrageenan), vegetable blend (broccoli, sugar snap peas, carrots, red bell peppers), sauce (water, reduced sodium soy sauce [water, wheat, soybeans, salt, alcohol, vinegar, lactic acid], sugar, tomato paste, garlic, modified cornstarch, roasted sesame oil, ginger, rice vinegar, sesame seeds, soy sauce [water, wheat, soybeans, salt], modified tapioca starch, potassium lactate, yeast extract, natural flavor, spices, mixed tocopherols, sucralose, citric acid, sodium citrate, potassium sorbate and sodium benzoate [preservatives]).;en:gluten,en:sesame-seeds,en:soybeans;;;;;1 PACKAGE (255 g);255;;6;;en:e202,en:e211,en:e270,en:e330,en:e407,en:e955;E202 - Potassium sorbate,E211 - Sodium benzoate,E270 - Lactic acid,E330 - Citric acid,E407 - Carrageenan,E955 - Sucralose;0;;;0;;;-1;a;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:frozen-foods;Frozen foods;;;;;;;;460;460;;1.37;0;;;;;;;;;;;;;;;0.2;0.39;;;;;;;;;;;;;;;;;0;0;20;4.31;;;;;;;;;1.6;;;3.53;;;;0.4025;0.161;;0;;;;;0.0082;;;;;;;;;;;;;;0.016;;0.00106;;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;
0025800036745;http://world-en.openfoodfacts.org/product/0025800036745/tropical-fruit-smoothie-smart-ones;usda-ndb-import;1489070889;2017-03-09T14:48:09Z;1587658464;2020-04-23T16:14:24Z;Tropical fruit smoothie;;;;;Smart Ones;smart-ones;Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods;Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Nonfat milk, pineapple, yogurt (cultured milk, cultured nonfat milk), mango, sugar, maltodextrin, pineapple juice, contains 2% or less of: pectin, natural flavors, citric acid, ascorbic acid, stevia extract, yogurt culture.;;;;;;1 cup (236 ml);236;;2;;en:e330,en:e440,en:e440i;E330 - Citric acid,E440 - Pectins,E440i - Pectin;0;;;0;;;-6;a;4;Fruits and vegetables;Fruits;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:fruits-based-foods;Fruits based foods;;;;;;;;230;230;;0.21;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;0;0.002;10.59;7.2;;;;;;;;;1.7;;;2.54;;;;0.075;0.03;;0.0000381;;;;;0.001;;;;;;;;;;;;;;0.085;;0;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;
0025800036769;http://world-en.openfoodfacts.org/product/0025800036769/smoothie-smart-ones;usda-ndb-import;1489070954;2017-03-09T14:49:14Z;1587658464;2020-04-23T16:14:24Z;Smoothie;;;;;Smart Ones;smart-ones;Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods;Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Nonfat milk, strawberries, yogurt (cultured milk, cultured nonfat milk), sugar, maltodextrin, blueberries, raspberries, contains 2% or less of: natural flavors, pectin, citric acid, stevia extract, yogurt culture.;;;;;;1 cup (236 ml);236;;2;;en:e330,en:e440,en:e440i;E330 - Citric acid,E440 - Pectins,E440i - Pectin;0;;;0;;;-6;a;4;Fruits and vegetables;Fruits;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:fruits-based-foods;Fruits based foods;;;;;;;;213;213;;0.21;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;0;0.002;10.59;7.63;;;;;;;;;1.7;;;2.54;;;;0.075;0.03;;0;;;;;0.0015;;;;;;;;;;;;;;0.085;;0;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;
0025800036783;http://world-en.openfoodfacts.org/product/0025800036783/banana-smoothie-yogurt;org-database-usda;1587636679;2020-04-23T10:11:19Z;1587636679;2020-04-23T10:11:19Z;Banana smoothie yogurt;;;;;;;Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods;Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Nonfat milk, strawberries, yogurt (cultured milk, cultured nonfat milk), sugar, bananas, maltodextrin, contains 2% or less: natural flavors, pectin, citric acid, stevia extract, ascorbic acid, yogurt culture.;en:milk;;;;;1 cup (236 ml);236;;2;;en:e330,en:e440,en:e440i;E330 - Citric acid,E440 - Pectins,E440i - Pectin;0;;;0;;;-6;a;4;Fruits and vegetables;Fruits;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:fruits-based-foods;Fruits based foods;;;;;;;;213;213;;0.21;0;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;0;0.002;9.32;7.2;;;;;;;;;1.7;;;2.54;;;;0.08;0.032;;0;;;;;0.0005;;;;;;;;;;;;;;0.085;;0;;;;;;;;;;;;;;;;;;;;;-6;;;;;;;;
0025800039104;http://world-en.openfoodfacts.org/product/0025800039104/chicken-fajitas-smart-ones;usda-ndb-import;1489070941;2017-03-09T14:49:01Z;1587658505;2020-04-23T16:15:05Z;Chicken Fajitas;;;;;Smart Ones;smart-ones;Frozen foods;en:frozen-foods;Frozen foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Seasoned vegetables (onions, red bell peppers, green bell peppers, water, spices, onion powder, modified food starch, granulated garlic, paprika, salt, lime juice solids, natural flavors, garlic powder), seasoned rice & beans (water, cooked enriched white rice [water, enriched rice (white rice, iron, niacin, thiamine mononitrate, folic acid)], zucchini, red beans, tomato puree [water, tomato paste], corn, light sour cream [cultured nonfat milk and cream, nonfat milk, modified food starch, sodium phosphate, guar gum, carrageenan, calcium sulfate, locust bean gum], onions, fire roasted green chiles [green chile peppers, citric acid], nonfat milk, spices, carrot juice concentrate, corn oil, salt, garlic, half and half [milk, cream], modified cornstarch, parmesan cheese [cultured part-skim milk, salt, enzymes], dehydrated onion, paprika, yeast extract, xanthan gum, garlic powder, natural flavor), cooked roasted white meat chicken strips (white chicken meat, water, modified tapioca starch, sugar, dextrose, salt, sodium phosphate, modified potato starch), tortillas (enriched bleached wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, whole wheat flour, cottonseed oil, salt, leavening [sodium bicarbonate, sodium aluminum sulfate, corn starch, monocalcium phosphate, and/or sodium acid pyrophosphate, calcium sulfate], guar gum, cellulose gum, distilled monoglycerides, enzymes, wheat starch, calcium carbonate, antioxidants [tocopherols, ascorbic acid], dough conditioners [fumaric acid], preservatives [calcium propionate, sorbic acid, citric acid], l-cysteine monohydrochloride).;en:gluten,en:milk;;;;;1 PACKAGE (226 g);226;;14;;en:e200,en:e282,en:e297,en:e300,en:e306,en:e330,en:e341,en:e341i,en:e407,en:e410,en:e412,en:e415,en:e450,en:e466,en:e521;E200 - Sorbic acid,E282 - Calcium propionate,E297 - Fumaric acid,E300 - Ascorbic acid,E306 - Tocopherol-rich extract,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E407 - Carrageenan,E410 - Locust bean gum,E412 - Guar gum,E415 - Xanthan gum,E450 - Diphosphates,E466 - Sodium carboxy methyl cellulose,E521 - Aluminium sodium sulphate;0;;;0;;;-1;a;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:frozen-foods;Frozen foods;;;;;;;;481;481;;2.21;0.66;;;;;;;;;;;;;;;0.44;0.66;;;;;;;;;;;;;;;;;0;0.013;17.26;1.77;;;;;;;;;1.8;;;6.19;;;;0.6075;0.243;;0.0000996;;;;;0.0066;;;;;;;;;;;;;;0.044;;0.0008;;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;
0025800039289;http://world-en.openfoodfacts.org/product/0025800039289/steak-fajitas;org-database-usda;1587636645;2020-04-23T10:10:45Z;1587636647;2020-04-23T10:10:47Z;Steak fajitas;;;;;;;Frozen foods;en:frozen-foods;Frozen foods;;;;;;;;;;;;;;;United States;en:united-states;United States;Seasoned vegetables (onions, red bell peppers, green bell peppers, water, spices, onion powder, modified corn starch, granulated garlic, paprika, salt, lime juice solids, natural flavors, garlic powder), seasoned rice and beans (water, cooked enriched white rice [water, enriched rice (white rice, iron, niacin, thiamine mononitrate, folic acid)], zucchini, red beans, tomato puree [water, tomato paste], corn, light sour cream [cultured nonfat milk and cream, nonfat dry milk, modified food starch, sodium phosphate, guar gum, carrageenan, calcium sulfate, locust bean gum], onions, fire roasted green chiles [green chile peppers, citric acid], nonfat milk, spices, carrot juice concentrate, corn oil, salt, garlic, half and half [milk, cream], modified cornstarch, parmesan cheese [cultured part-skim milk, salt, enzymes], dehydrated onion, paprika, yeast extract, xanthan gum, garlic powder, natural flavor), tortillas (enriched bleached wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, whole wheat flour, cottonseed oil, salt, leavening [sodium bicarbonate, sodium aluminum sulfate, corn starch, monocalcium phosphate, and/or sodium acid pyrophosphate, calcium sulfate], guar gum, cellulose gum, distilled monoglycerides, enzymes, wheat starch, calcium carbonate, antioxidants [tocopherols, ascorbic acid], dough conditioners [fumaric acid], preservatives [calcium propionate, sorbic acid, citric acid], l-cysteine monohydrochloride), cooked beef steak strips (beef, beef broth, contains 2% or less of modified corn starch, dextrose, soy protein concentrate, flavor [maltodextrin, natural flavor, beef extract, salt, beef tallow, modified food starch, yeast extract], grill flavor [tapioca dextrin, grill flavor (from sunflower oil), natural smoke flavoring], sodium phosphates, spice extractives, salt).;en:gluten,en:milk;;;;;1 PACKAGE (226 g);226;;15;;en:e1400,en:e200,en:e282,en:e297,en:e300,en:e306,en:e330,en:e341,en:e341i,en:e407,en:e410,en:e412,en:e415,en:e450,en:e466,en:e521;E1400 - Dextrin,E200 - Sorbic acid,E282 - Calcium propionate,E297 - Fumaric acid,E300 - Ascorbic acid,E306 - Tocopherol-rich extract,E330 - Citric acid,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E407 - Carrageenan,E410 - Locust bean gum,E412 - Guar gum,E415 - Xanthan gum,E450 - Diphosphates,E466 - Sodium carboxy methyl cellulose,E521 - Aluminium sodium sulphate;0;;;0;;;-3;a;4;unknown;unknown;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:frozen-foods;Frozen foods;;;;;;;;519;519;;3.1;0.88;;;;;;;;;;;;;;;0.88;0.66;;;;;;;;;;;;;;;;;0;0.007;17.7;1.77;;;;;;;;;2.2;;;6.64;;;;0.5875;0.235;;0.0001326;;;;;0.008;;;;;;;;;;;;;;0.044;;0.00119;;;;;;;;;;;;;;;;;;;;;-3;;;;;;;;
0025800039319;http://world-en.openfoodfacts.org/product/0025800039319/oatmeal-smart-ones;usda-ndb-import;1489051950;2017-03-09T09:32:30Z;1587658505;2020-04-23T16:15:05Z;Oatmeal;;;;;Smart Ones;smart-ones;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products;Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products;;;;;;;;;;;;;;;United States;en:united-states;United States;Water, steel cut whole grain oats, rolled oats, nonfat milk, granola (oats, brown sugar, honey, salt, spices, natural flavor), sugar, golden raisins (contains sulfites), raisins, brown sugar, oat fiber, cranberries, salt, modified food starch, acetylated monoglycerides, spices, natural flavor, sucralose, maple syrup.;en:sulphur-dioxide-and-sulphites;;;;;1 cup (164 g);164;;1;;en:e955;E955 - Sucralose;0;;;0;;;0;b;4;Cereals and potatoes;Cereals;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:cereals-and-their-products;Cereals and their products;;;;;;;;485;485;;1.22;0.3;;;;;;;;;;;;;;;0;0.61;;;;;;;;;;;;;;;;;0;0.003;23.17;9.76;;;;;;;;;3;;;3.05;;;;0.29;0.116;;0;;;;;0;;;;;;;;;;;;;;0.091;;0.00044;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
0025800039326;http://world-en.openfoodfacts.org/product/0025800039326/oatmeal-smart-ones;usda-ndb-import;1489070874;2017-03-09T14:47:54Z;1587658483;2020-04-23T16:14:43Z;Oatmeal;;;;;Smart Ones;smart-ones;Meals;en:meals;Meals;;;;;;;;;;;;;;;United States;en:united-states;United States;Water, steel cut whole grain oats, rolled oats, granola (oats, brown sugar, honey, salt, spices, natural flavor), apples, nonfat milk, apple juice concentrate, brown sugar, oat fiber, sugar, corn syrup, salt, modified food starch, glycerin, cinnamon, acetylated monoglycerides, natural flavor, apple fiber, ascorbic acid, malic acid, vanilla flavor (natural flavor, molasses, sugar, caramel color), sucralose.;;;;;;1 cup (164 g);164;;4;;en:e150c,en:e296,en:e422,en:e955;E150c - Ammonia caramel,E296 - Malic acid,E422 - Glycerol,E955 - Sucralose;0;;;0;;;-1;a;4;Composite foods;One-dish meals;en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded;en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded;To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded;H.J. Heinz Company;en:meals;Meals;;;;;;;;460;460;;1.22;0.3;;;;;;;;;;;;;;;0.3;0.3;;;;;;;;;;;;;;;;;0;0.003;21.34;8.54;;;;;;;;;3;;;3.05;;;;0.26;0.104;;0;;;;;0.0037;;;;;;;;;;;;;;0.061;;0.00044;;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;
